name,address_line_1,address_line_2,city,state_or_region,postal_code,country_code,latitude,longitude
,8327 Jackson Rd,,Oak Park,IL,60302,US,41.900816,-87.798868
,915 South Ter,,Naperville,IL,60540,US,41.760113,-88.173354
,8627 Hill Dr,,Decatur,IL,62523,US,39.853718,-88.963448
,1066 Bluff Pl,Unit 89,Chicago,IL,60657,US,41.882178,-87.648104
,9753 Harvest Rd,,Urbana,IL,61801,US,40.119405,-88.226510
Sunrise Village,9090 Ferry Ave,,Harvey,IL,60426,US,41.619827,-87.644368
,3803 West Ave,,Evanston,IL,60202,US,42.055793,-87.690922
,729 Truman Ln,,Chicago,IL,60630,US,41.888044,-87.645483
,8049 Poplar Way,# 600,Tinley Park,IL,60477,US,41.581415,-87.796250
,6307 Holly Ave,,Lansing,IL,60438,US,41.562361,-87.552349
,6749 Bluff Blvd,,Waukegan,IL,60087,US,42.348462,-87.828583
,6257 Sycamore Ct,,Chicago,IL,60657,US,41.864006,-87.640425
Riverside Plaza,9582 Monroe Blvd,,Oak Park,IL,60301,US,41.895652,-87.770821
,9382 Seventh Pl,,Alsip,IL,60803,US,41.675242,-87.721370
,1989 Jackson Ct,Ste 880,Markham,IL,60428,US,41.598045,-87.703189
,9426 Sherman Way,,Palatine,IL,60067,US,42.121723,-88.045903
,4592 Fourth Ave,,Evanston,IL,60202,US,42.064041,-87.691558
,6148 Walnut Dr,# 697,Waukegan,IL,60087,US,42.348083,-87.855348
,8739 Maple Rd,Unit 578,Skokie,IL,60076,US,42.048273,-87.715345
,3501 Ivy Ave,Apt 704,Rockford,IL,61101,US,42.264793,-89.097958
,4265 Second Pl,,Schaumburg,IL,60193,US,42.014731,-88.063663
,2644 Fourth Blvd,,Chicago,IL,60614,US,41.896210,-87.610571
,561 Poplar Ave,Ste 665,Midlothian,IL,60445,US,41.621837,-87.712012
,4554 Brook St,,Decatur,IL,62523,US,39.835530,-88.963188
,7772 Evergreen Ter,Ste 474,Chicago,IL,60640,US,41.869795,-87.634560
,1900 High Pl,,Cicero,IL,60804,US,41.830091,-87.747442
,9714 University Dr,,Evanston,IL,60201,US,42.030842,-87.687617
Riverside Plaza,3258 Walnut Blvd,,Joliet,IL,60432,US,41.528937,-88.074633
,3486 Eisenhower Ave,# 506,Midlothian,IL,60445,US,41.618732,-87.720456
,7868 Sherman Dr,Apt 762,Des Plaines,IL,60016,US,42.019064,-87.880007
,7248 Meadow Ave,# 833,Elgin,IL,60123,US,42.049561,-88.274964
Sunrise Village,3171 Jefferson Ct,,Decatur,IL,62523,US,39.825991,-88.942754
,2418 Forest Ln,Unit 115,Oak Park,IL,60301,US,41.867177,-87.776201
,5162 Madison Ct,,Tinley Park,IL,60477,US,41.566963,-87.766191
,6915 East St,,Evanston,IL,60201,US,42.037087,-87.703239
,3050 Evergreen Dr,Ste 335,Palatine,IL,60067,US,42.129719,-88.044423
,4133 Academy Rd,Ste 908,Downers Grove,IL,60515,US,41.808094,-88.025648
,7582 Eisenhower Rd,,Waukegan,IL,60085,US,42.381451,-87.861534
The Grand,8331 University Rd,,Oak Park,IL,60302,US,41.865385,-87.795224
,8383 Elm Dr,# 900,Orland Park,IL,60462,US,41.625274,-87.849106
,3718 Cedar Way,,Urbana,IL,61801,US,40.090690,-88.187409
Northgate Apartments,513 Chestnut Rd,,Chicago,IL,60651,US,41.869841,-87.614922
Lincoln Square,8399 Market Blvd,Apt 308,Chicago,IL,60622,US,41.880950,-87.645003
,6340 Birch St,,Chicago,IL,60651,US,41.869814,-87.644844
,2472 University Ter,,Bolingbrook,IL,60440,US,41.679408,-88.050819
,9889 Broad St,,Bloomington,IL,61701,US,40.470531,-88.977325
Riverside Plaza,2985 Hickory Ave,,Decatur,IL,62523,US,39.839953,-88.949175
,7291 Chestnut St,,Blue Island,IL,60406,US,41.641882,-87.665043
,9389 Garden St,Ste 356,Evanston,IL,60201,US,42.056838,-87.697291
,9594 Chestnut Ln,Apt 783,Dolton,IL,60419,US,41.619629,-87.589328
,6527 Evergreen St,# 285,Oak Park,IL,60301,US,41.889802,-87.765859
,3488 Chestnut Blvd,Apt 979,Waukegan,IL,60087,US,42.347283,-87.863453
,2703 Elm Ct,Ste 344,Mount Prospect,IL,60056,US,42.076316,-87.944978
,4953 Ivy Blvd,,Bolingbrook,IL,60440,US,41.706080,-88.078269
,278 Bluff Pl,,Elgin,IL,60120,US,42.020887,-88.286706
,7498 Laurel St,,Peoria,IL,61602,US,40.681960,-89.577157
,7120 First Dr,,Chicago,IL,60625,US,41.880628,-87.641231
,1019 Hillside Pl,,Chicago,IL,60625,US,41.878496,-87.620470
,5965 Ridge Cir,,Chicago,IL,60622,US,41.862140,-87.629809
,3936 Lincoln Ct,,Elgin,IL,60120,US,42.047377,-88.296450
,7478 Liberty Rd,Ste 328,Orland Park,IL,60462,US,41.649713,-87.836362
,7311 Hillside Ln,,Evanston,IL,60201,US,42.060986,-87.673374
,3437 Valley Ave,,Mount Prospect,IL,60056,US,42.068784,-87.935309
,784 Lincoln Rd,Ste 936,Chicago,IL,60647,US,41.875091,-87.630329
,3739 Pine Rd,,Aurora,IL,60505,US,41.760066,-88.316197
Northgate Apartments,8039 University St,,Waukegan,IL,60087,US,42.351377,-87.848376
,6164 Harvest St,Ste 270,Oak Park,IL,60301,US,41.873987,-87.792710
,6836 Main Ln,,Calumet City,IL,60409,US,41.624536,-87.510775
,5894 Harrison Blvd,Ste 434,Evanston,IL,60201,US,42.046944,-87.700440
The Heritage,8080 Sycamore Pl,# 729,Peoria,IL,61602,US,40.678452,-89.575363
,1402 Lee Ct,,Chicago,IL,60614,US,41.886418,-87.648781
Lakeshore Drive Apts,1562 Jefferson Ct,Ste 978,Chicago,IL,60625,US,41.875097,-87.619737
Oak Terrace,6404 Roosevelt Ter,Ste 962,Waukegan,IL,60087,US,42.357263,-87.845532
,1933 Broad Ter,,Evanston,IL,60202,US,42.046969,-87.682241
,6987 Oak Ave,,Oak Park,IL,60302,US,41.877794,-87.766074
,377 Pine Pl,,Berwyn,IL,60402,US,41.838689,-87.811814
,6335 Church Ave,Unit 15,Chicago,IL,60601,US,41.862806,-87.633509
,2962 Tenth Way,,Alsip,IL,60803,US,41.658195,-87.731877
,5864 Lake Ln,,Tinley Park,IL,60477,US,41.570340,-87.768225
Riverside Plaza,2209 Market Ter,,Rockford,IL,61101,US,42.286538,-89.077646
,8219 Ferry Dr,Unit 696,Skokie,IL,60076,US,42.016227,-87.730063
,5839 Laurel Ct,,Arlington Heights,IL,60004,US,42.103532,-87.986228
,3236 Crest Rd,,Schaumburg,IL,60193,US,42.029237,-88.085169
Park View Condos,1689 River Way,Apt 658,Wheaton,IL,60187,US,41.866555,-88.090891
,4414 Roosevelt Dr,# 661,Peoria,IL,61602,US,40.705750,-89.598298
,4350 Sage Ave,,Tinley Park,IL,60477,US,41.578346,-87.800276
,3314 Market Pl,,Alsip,IL,60803,US,41.648878,-87.714747
,4109 King Dr,,Aurora,IL,60505,US,41.762516,-88.316016
,9211 Fern Ave,Ste 485,Elgin,IL,60120,US,42.029172,-88.279494
,5666 Second St,Apt 153,Arlington Heights,IL,60004,US,42.086594,-87.983365
,8893 State Ave,Apt 110,Arlington Heights,IL,60004,US,42.096620,-87.984616
,3664 Broad Ct,,Alsip,IL,60803,US,41.651341,-87.720476
Sunrise Village,7231 Fourth Ct,Ste 572,Berwyn,IL,60402,US,41.859574,-87.812362
,1219 Madison Ave,Apt 383,Chicago,IL,60630,US,41.896651,-87.615034
,5505 Oak Blvd,Apt 637,Chicago,IL,60657,US,41.892836,-87.632658
,1914 Glen Cir,,Decatur,IL,62523,US,39.831369,-88.950301
The Grand,5314 Church Ave,,Elgin,IL,60123,US,42.020312,-88.286209
,2380 Sage Ave,,Blue Island,IL,60406,US,41.660143,-87.683251
,9014 State Rd,,Wheaton,IL,60187,US,41.858171,-88.111891
,8494 Field Rd,Unit 16,Decatur,IL,62523,US,39.841642,-88.956379
,6572 Poplar Ave,,Aurora,IL,60505,US,41.763430,-88.303990
,2854 Madison St,,Aurora,IL,60505,US,41.763969,-88.323645
,7192 Park Ave,Apt 47,Naperville,IL,60540,US,41.764393,-88.173175
,422 Second Way,,Elgin,IL,60123,US,42.020476,-88.275742
Sunrise Village,2511 Eighth Ave,# 255,Elgin,IL,60123,US,42.024161,-88.278273
Wicker Park Flats,787 University Way,,Markham,IL,60428,US,41.593433,-87.696548
,1459 Mill St,Ste 357,Markham,IL,60428,US,41.596447,-87.701625
,6847 Laurel St,Ste 517,Elgin,IL,60123,US,42.039845,-88.300051
,8098 Birch Ave,,Evanston,IL,60202,US,42.031824,-87.695197
,4018 Ash St,,Evanston,IL,60201,US,42.041772,-87.670319
,8329 Holly Rd,Unit 738,Markham,IL,60428,US,41.572408,-87.685918
,7180 Kennedy Rd,Ste 800,Chicago,IL,60641,US,41.874255,-87.638877
,6345 Commerce Cir,Apt 358,Wheaton,IL,60187,US,41.880336,-88.103429
,6368 University Dr,,Champaign,IL,61820,US,40.133782,-88.228688
,6754 Ash Rd,,Markham,IL,60428,US,41.572232,-87.689404
,7375 Second Dr,,Naperville,IL,60540,US,41.747324,-88.137389
,8418 East Ave,,Joliet,IL,60432,US,41.506508,-88.091629
Wicker Park Flats,8850 Madison Ave,,Waukegan,IL,60087,US,42.345949,-87.830783
,3447 Forest St,,Chicago,IL,60651,US,41.866413,-87.640713
Navy Pier Place,8946 Orchard Rd,,Blue Island,IL,60406,US,41.666861,-87.680535
,3491 State Ln,# 222,Normal,IL,61761,US,40.504355,-89.010301
Lincoln Square,4127 Orchard St,Unit 153,Champaign,IL,61820,US,40.113072,-88.249169
,5833 Park Ln,,Rockford,IL,61101,US,42.264734,-89.086368
,2462 Fifth St,# 418,Harvey,IL,60426,US,41.604542,-87.656129
,1939 Sycamore Rd,# 839,Chicago,IL,60641,US,41.896491,-87.626862
,2816 Ninth Dr,# 829,Schaumburg,IL,60193,US,42.047100,-88.078180
,4215 Valley Ln,,Chicago,IL,60647,US,41.875919,-87.630890
,1083 Hickory Dr,,Blue Island,IL,60406,US,41.641390,-87.669234
,1366 Roosevelt Ave,,Tinley Park,IL,60477,US,41.558839,-87.766293
Wabash Commons,861 Hickory Ave,,Bolingbrook,IL,60440,US,41.715249,-88.070857
,3675 Lake Pl,,Bloomington,IL,61701,US,40.483889,-89.006312
,9344 Ninth Ter,,Waukegan,IL,60085,US,42.355352,-87.855650
,7372 South Ln,,Markham,IL,60428,US,41.592831,-87.701003
,6785 Ninth Dr,Unit 981,Tinley Park,IL,60477,US,41.589041,-87.781274
Lincoln Square,2117 Sunrise Ter,Ste 290,Mount Prospect,IL,60056,US,42.071713,-87.931784
,842 Brook Ter,# 902,Chicago,IL,60613,US,41.895177,-87.618690
,3953 Broad Cir,Ste 237,Arlington Heights,IL,60004,US,42.083510,-87.979086
,6659 Eighth Ave,,Tinley Park,IL,60477,US,41.589123,-87.787984
,7805 Crest Rd,# 957,Joliet,IL,60432,US,41.544961,-88.092585
Riverside Plaza,1316 Madison Way,,Oak Park,IL,60302,US,41.885195,-87.785173
,8227 Third Ct,,Skokie,IL,60076,US,42.043436,-87.714485
,6439 Lee Rd,Apt 399,Chicago,IL,60657,US,41.866802,-87.616143
,9965 Lake Cir,,Evanston,IL,60202,US,42.027658,-87.682434
,3999 Bluff Dr,# 138,Waukegan,IL,60085,US,42.350496,-87.857505
,3754 Central Rd,,Chicago,IL,60622,US,41.876889,-87.618844
,4043 Orchard Ct,,Chicago,IL,60622,US,41.894068,-87.637150
,3058 Jackson Blvd,,Harvey,IL,60426,US,41.612637,-87.633993
,6028 Crest Ct,,Cicero,IL,60804,US,41.858803,-87.768363
Elmwood Manor,9120 Lake Rd,,Chicago,IL,60618,US,41.879569,-87.614175
,7334 Central St,,Wheaton,IL,60187,US,41.874426,-88.094282
,6165 Laurel Rd,# 56,Chicago,IL,60647,US,41.897893,-87.635085
,7874 Division Ave,Unit 108,Alsip,IL,60803,US,41.660258,-87.732878
,6677 Hickory Ter,,Oak Park,IL,60301,US,41.871403,-87.792909
Riverside Plaza,4711 Commerce St,,Normal,IL,61761,US,40.498821,-88.996023
,3153 Walnut Ave,,Chicago,IL,60647,US,41.883734,-87.645294
,7725 Lee Ave,,Chicago,IL,60618,US,41.885995,-87.629124
Lincoln Square,9496 Sherman Pl,Apt 612,Chicago,IL,60622,US,41.871443,-87.629966
,8913 Washington Rd,Ste 609,Chicago,IL,60613,US,41.869471,-87.633605
,1888 Bluff Rd,Unit 732,Oak Park,IL,60301,US,41.873236,-87.801385
,6258 Ivy Way,Apt 25,Chicago,IL,60614,US,41.878317,-87.617898
,6588 Hickory St,,Urbana,IL,61801,US,40.129776,-88.209503
,648 Glen Pl,,Decatur,IL,62523,US,39.828886,-88.969237
,5088 South Ave,,Normal,IL,61761,US,40.533294,-88.980802
,6781 Lake Ave,Unit 95,Chicago,IL,60625,US,41.865779,-87.649206
,2255 West Dr,Unit 320,Palatine,IL,60067,US,42.116421,-88.027983
,8834 Harrison Ln,,Midlothian,IL,60445,US,41.641008,-87.722242
,4135 Creek Dr,Ste 524,Mount Prospect,IL,60056,US,42.068978,-87.932388
,8824 Seventh Way,,Oak Park,IL,60302,US,41.886163,-87.775546
,962 Glen Ave,,Chicago,IL,60625,US,41.890537,-87.622527
,9392 Pine Ter,,Oak Park,IL,60301,US,41.882628,-87.795992
,9466 College Ct,,Peoria,IL,61602,US,40.681485,-89.603685
,8022 Park Ter,# 295,Chicago,IL,60618,US,41.862855,-87.615197
Sunrise Village,2645 Lincoln St,,Decatur,IL,62523,US,39.845921,-88.936580
,1494 Hillside St,,Chicago,IL,60640,US,41.880123,-87.645341
Elmwood Manor,3364 Broad Ave,Apt 170,Blue Island,IL,60406,US,41.661291,-87.667752
Wicker Park Flats,6872 Valley St,,Lansing,IL,60438,US,41.582825,-87.553997
,9435 Adams St,,Chicago,IL,60601,US,41.876215,-87.616263
,9885 Cedar Ct,Apt 762,Des Plaines,IL,60016,US,42.040578,-87.863458
,367 South St,,Schaumburg,IL,60193,US,42.027504,-88.071667
,8495 Hickory St,# 116,Joliet,IL,60432,US,41.507607,-88.062730
,4943 Lee Rd,,Tinley Park,IL,60477,US,41.578609,-87.803440
,247 University Rd,,Chicago,IL,60640,US,41.879417,-87.619066
,5638 Sherman Dr,# 828,Bolingbrook,IL,60440,US,41.676519,-88.060941
,4210 Tenth Blvd,# 209,Berwyn,IL,60402,US,41.837373,-87.779515
,1521 Hickory Ter,Ste 202,Chicago,IL,60640,US,41.865341,-87.631372
,7808 Orchard Cir,Ste 213,Naperville,IL,60540,US,41.751630,-88.150971
,8571 Market Pl,Unit 273,Orland Park,IL,60462,US,41.630171,-87.847525
,1259 Meadow Ct,,Chicago,IL,60614,US,41.876614,-87.620581
,507 Sunrise St,Unit 180,Chicago,IL,60651,US,41.887904,-87.610078
,9998 East Rd,# 782,Evanston,IL,60201,US,42.036702,-87.679499
Maple Court,7896 Eleventh Ave,# 411,Springfield,IL,62701,US,39.774286,-89.634622
,1895 Brook Blvd,Unit 436,Naperville,IL,60540,US,41.747415,-88.141959
,5642 Twelfth Pl,Unit 842,Bloomington,IL,61701,US,40.476648,-89.009094
,6779 Second Ave,,Decatur,IL,62523,US,39.833142,-88.957233
,3881 Ivy St,Unit 906,Chicago,IL,60647,US,41.866436,-87.635092
,9876 Prairie Ave,,Urbana,IL,61801,US,40.116639,-88.194664
Navy Pier Place,9564 South Ln,,Alsip,IL,60803,US,41.662679,-87.734535
,5739 First Dr,,Chicago,IL,60641,US,41.881508,-87.630140
,9179 First Dr,# 806,Waukegan,IL,60087,US,42.358091,-87.827967
,7808 Ridge Pl,,Joliet,IL,60432,US,41.540498,-88.085179
,7228 Lee Ter,Ste 164,Downers Grove,IL,60515,US,41.818568,-88.003151
,3324 Hillside Ave,,Harvey,IL,60426,US,41.600637,-87.649214
Northgate Apartments,9555 Third St,,Wheaton,IL,60187,US,41.855073,-88.102455
,6259 Bluff Ave,Unit 970,Des Plaines,IL,60016,US,42.050937,-87.902640
Wabash Commons,764 Cross Blvd,,Chicago,IL,60641,US,41.892554,-87.646685
,632 Seventh Ter,Ste 726,Mount Prospect,IL,60056,US,42.068075,-87.922005
,6775 Tenth St,,Markham,IL,60428,US,41.606810,-87.694153
,8946 East Rd,# 342,Bloomington,IL,61701,US,40.495308,-88.983718
,9021 Second Rd,Ste 825,Wheaton,IL,60187,US,41.870539,-88.096741
,2244 Valley St,# 841,Arlington Heights,IL,60004,US,42.085702,-87.982253
,7057 Ivy Pl,,Mount Prospect,IL,60056,US,42.084485,-87.939255
,8316 Hill Ln,,Oak Park,IL,60302,US,41.891650,-87.802609
,6673 Magnolia Dr,,Decatur,IL,62523,US,39.857403,-88.938731
Logan Square Lofts,4746 Sunrise Pl,,Champaign,IL,61820,US,40.124661,-88.238226
,5892 Main Blvd,,Bloomington,IL,61701,US,40.467594,-88.983062
,5765 Glen St,,Chicago,IL,60651,US,41.871769,-87.644011
,6094 Lincoln Blvd,,Oak Park,IL,60302,US,41.892397,-87.772244
,4147 Sherman Ln,,Midlothian,IL,60445,US,41.639987,-87.731353
,2594 Hickory Pl,# 392,Elgin,IL,60123,US,42.016198,-88.280390
,9914 Birch Way,,Waukegan,IL,60085,US,42.354412,-87.851215
,2358 Valley St,Ste 55,Wheaton,IL,60187,US,41.859653,-88.107003
,1744 Forest Dr,,Downers Grove,IL,60515,US,41.792535,-88.019456
,712 Market Ct,,Oak Park,IL,60302,US,41.872473,-87.772381
,9633 Grant Ave,Apt 728,Normal,IL,61761,US,40.532648,-89.007284
Lakefront Towers,3847 Church Blvd,,Normal,IL,61761,US,40.496981,-88.986521
,5016 Park Rd,,Harvey,IL,60426,US,41.612907,-87.646387
,2275 Twelfth Ct,Unit 175,Skokie,IL,60076,US,42.048668,-87.729211
,2536 Meadow St,,Des Plaines,IL,60016,US,42.027144,-87.868242
,9511 Orchard Pl,Unit 447,Blue Island,IL,60406,US,41.655479,-87.683165
,7207 Harrison St,,Chicago,IL,60630,US,41.871481,-87.647461
,1248 Monroe St,Ste 983,Berwyn,IL,60402,US,41.830753,-87.784100
Navy Pier Place,5964 Sycamore St,,Chicago,IL,60640,US,41.866346,-87.609856
Sunrise Village,8653 Liberty St,,Chicago,IL,60630,US,41.887031,-87.629510
,9281 East St,Unit 86,Champaign,IL,61820,US,40.125240,-88.259193
,5836 Ash Ave,,Normal,IL,61761,US,40.508376,-88.988323
,4888 North Ct,,Evanston,IL,60202,US,42.053055,-87.707519
,1293 State Way,,Chicago,IL,60618,US,41.885612,-87.633507
,7398 Ivy Ave,,Chicago,IL,60618,US,41.880797,-87.628127
Park View Condos,9100 Cedar St,,Springfield,IL,62701,US,39.781615,-89.663415
,8920 First Ave,,Chicago,IL,60622,US,41.894007,-87.646238
,9917 Lake Rd,,Chicago,IL,60625,US,41.858689,-87.618831
,9868 Eighth Rd,,Midlothian,IL,60445,US,41.628529,-87.724077
,8967 Valley Ln,,Arlington Heights,IL,60004,US,42.075830,-87.961887
,3192 State Way,# 137,Mount Prospect,IL,60056,US,42.063646,-87.948316
,7853 Jackson Ln,,Bloomington,IL,61701,US,40.473929,-88.982350
,4341 Academy Pl,,Aurora,IL,60505,US,41.767497,-88.315756
,7527 King Ave,Apt 15,Lansing,IL,60438,US,41.558218,-87.540528
,9416 Jackson Rd,# 309,Midlothian,IL,60445,US,41.612711,-87.738634
,1278 State Ave,,Chicago,IL,60601,US,41.869698,-87.615281
,912 Jackson St,,Chicago,IL,60613,US,41.881281,-87.641513
,8136 Laurel Rd,Apt 168,Chicago,IL,60640,US,41.882765,-87.637619
,6061 Birch Ter,,Orland Park,IL,60462,US,41.649805,-87.872543
,7613 Division Ave,,Chicago,IL,60657,US,41.879264,-87.620546
,3718 Hill St,,Chicago,IL,60657,US,41.868006,-87.642467
,8624 Lincoln Ave,Unit 9,Bloomington,IL,61701,US,40.483698,-88.975142
The Heritage,954 Crest Blvd,Apt 348,Lansing,IL,60438,US,41.565879,-87.547240
,6901 Hickory St,Unit 850,Peoria,IL,61602,US,40.691003,-89.578839
,1464 Pine St,Unit 175,Arlington Heights,IL,60004,US,42.088468,-87.970042
,753 Eighth St,,Waukegan,IL,60087,US,42.381341,-87.854488
,9311 Wilson Ct,,Des Plaines,IL,60016,US,42.021109,-87.875357
,2760 Sherman St,Apt 198,Joliet,IL,60432,US,41.536500,-88.077376
,7239 Bluff Pl,# 458,Chicago,IL,60641,US,41.885665,-87.647298
Wicker Park Flats,8458 Ivy Rd,# 494,Chicago,IL,60641,US,41.886765,-87.628268
,6011 Hill Dr,# 760,Bolingbrook,IL,60440,US,41.713972,-88.053043
,922 Main St,Unit 72,Tinley Park,IL,60477,US,41.570652,-87.795562
Cedar Ridge,5349 Wilson Ln,,Normal,IL,61761,US,40.510224,-88.992670
,5675 Crest Ter,Unit 621,Blue Island,IL,60406,US,41.641045,-87.697819
Oak Terrace,6194 Sixth Ter,,Berwyn,IL,60402,US,41.846025,-87.808452
,1729 Third Ave,,Berwyn,IL,60402,US,41.856371,-87.803248
,9320 Maple Ave,Ste 520,Skokie,IL,60076,US,42.023528,-87.724300
,2671 Lake Ct,Apt 301,Downers Grove,IL,60515,US,41.796709,-88.005220
,912 Poplar St,,Evanston,IL,60201,US,42.058487,-87.694223
Navy Pier Place,9542 Wilson Way,Apt 636,Chicago,IL,60614,US,41.896290,-87.636089
,5319 Magnolia Cir,,Orland Park,IL,60462,US,41.640048,-87.868173
,2030 Twelfth Ct,Ste 337,Skokie,IL,60076,US,42.018393,-87.722592
,8081 Adams Ln,,Springfield,IL,62701,US,39.778009,-89.645067
Oak Terrace,8660 Commerce Rd,Unit 90,Chicago,IL,60630,US,41.884964,-87.636204
,4206 Prairie Ct,,Urbana,IL,61801,US,40.095364,-88.221047
Navy Pier Place,3838 Birch Cir,,Cicero,IL,60804,US,41.830794,-87.742117
,8393 Market Way,# 586,Chicago,IL,60622,US,41.867462,-87.616652
,5414 North Ter,,Cicero,IL,60804,US,41.860170,-87.757036
,425 Lake St,,Midlothian,IL,60445,US,41.622803,-87.739093
,8627 Glen Pl,Apt 924,Decatur,IL,62523,US,39.856824,-88.949141
,4513 South Cir,,Chicago,IL,60640,US,41.886206,-87.620484
,4699 Main Ave,Unit 755,Wheaton,IL,60187,US,41.883916,-88.103012
,531 University Ave,Ste 908,Schaumburg,IL,60193,US,42.031456,-88.077925
,4766 North Dr,Unit 964,Bolingbrook,IL,60440,US,41.681661,-88.057684
Sunrise Village,1702 King Ln,,Springfield,IL,62701,US,39.792774,-89.662395
,3960 Eleventh Ln,,Wheaton,IL,60187,US,41.879441,-88.100501
,2176 Birch St,Unit 714,Chicago,IL,60618,US,41.893716,-87.614739
,3171 Birch Way,Unit 284,Chicago,IL,60618,US,41.881706,-87.634654
,9625 Crest Ter,Apt 558,Oak Park,IL,60302,US,41.879848,-87.803325
,9353 Kennedy Ter,,Calumet City,IL,60409,US,41.620317,-87.539173
,8683 Sycamore Rd,,Calumet City,IL,60409,US,41.613500,-87.526141
,2474 Twelfth Blvd,,Evanston,IL,60202,US,42.064230,-87.706749
,4596 Mill Ln,# 349,Normal,IL,61761,US,40.525839,-88.981708
,7460 Oak St,,Chicago,IL,60613,US,41.894156,-87.634860
,1036 Main Ter,Apt 10,Elgin,IL,60120,US,42.021379,-88.264688
,4530 Seventh Blvd,,Chicago,IL,60618,US,41.864832,-87.630674
,4660 Union Way,Unit 349,Schaumburg,IL,60193,US,42.022760,-88.065055
,6557 Broad St,# 858,Peoria,IL,61602,US,40.693809,-89.600714
,7115 Grant Ave,,Markham,IL,60428,US,41.590407,-87.700216
,5774 Union St,Apt 117,Palatine,IL,60067,US,42.093393,-88.016445
,9127 Twelfth Rd,# 993,Normal,IL,61761,US,40.508411,-88.972240
,4507 Poplar Way,,Waukegan,IL,60085,US,42.383270,-87.857069
The Grand,476 Grant Blvd,,Markham,IL,60428,US,41.605447,-87.685482
Logan Square Lofts,5767 Eighth Cir,,Peoria,IL,61602,US,40.677224,-89.587601
,4300 Spring Rd,# 509,Mount Prospect,IL,60056,US,42.082153,-87.932082
,7261 Hickory Pl,,Harvey,IL,60426,US,41.611983,-87.648696
Riverside Plaza,9312 Orchard Dr,,Cicero,IL,60804,US,41.865002,-87.734791
,1688 Poplar St,# 866,Midlothian,IL,60445,US,41.607822,-87.737710
Cedar Ridge,5831 King Dr,,Dolton,IL,60419,US,41.631186,-87.598031
,6394 Bridge Rd,# 565,Springfield,IL,62701,US,39.782739,-89.650065
,3713 Hill St,,Chicago,IL,60601,US,41.872139,-87.644234
,4088 Ferry Cir,,Chicago,IL,60614,US,41.889827,-87.627586
,4960 Union Blvd,,Chicago,IL,60651,US,41.890028,-87.624354
,6650 Meadow Ln,Ste 527,Calumet City,IL,60409,US,41.615284,-87.536205
,4288 Glen St,Unit 72,Tinley Park,IL,60477,US,41.582023,-87.799323
Bucktown Row,6874 Wilson Way,Ste 132,Markham,IL,60428,US,41.582766,-87.678888
Oak Terrace,3580 Spring Blvd,,Chicago,IL,60613,US,41.881295,-87.612016
,6378 Creek St,Apt 969,Dolton,IL,60419,US,41.655119,-87.591263
,9677 Grant Dr,,Normal,IL,61761,US,40.525040,-88.980021
,2325 Union Rd,,Waukegan,IL,60085,US,42.354315,-87.854037
,4968 Adams St,Ste 842,Tinley Park,IL,60477,US,41.565175,-87.771565
,9582 Market Dr,,Normal,IL,61761,US,40.511807,-88.976161
The Pinnacle,9054 Bluff Way,,Bolingbrook,IL,60440,US,41.705125,-88.051084
,340 Third Ct,,Champaign,IL,61820,US,40.117048,-88.257224
,1617 Broad Dr,Ste 520,Alsip,IL,60803,US,41.675911,-87.735318
,544 King Ln,,Orland Park,IL,60462,US,41.624771,-87.853458
The Heritage,7621 Brook Rd,# 243,Champaign,IL,61820,US,40.098895,-88.249988
,9005 Forest Pl,,Lansing,IL,60438,US,41.569489,-87.540417
,7698 College Ave,Apt 303,Elgin,IL,60123,US,42.044574,-88.290747
,5456 Meadow Rd,,Mount Prospect,IL,60056,US,42.058201,-87.954810
,2923 Ridge Ter,,Urbana,IL,61801,US,40.104973,-88.208168
,1785 Cross Ln,,Evanston,IL,60201,US,42.040068,-87.695372
,1901 Twelfth Pl,Apt 974,Waukegan,IL,60087,US,42.362645,-87.837956
,1858 Holly Ave,,Waukegan,IL,60085,US,42.380855,-87.852826
Bucktown Row,8536 Mill Rd,# 322,Dolton,IL,60419,US,41.619417,-87.590948
,3172 Liberty Ave,# 26,Aurora,IL,60505,US,41.766774,-88.332542
,606 Evergreen Dr,Unit 682,Chicago,IL,60614,US,41.875592,-87.615676
,8864 Ninth Way,,Tinley Park,IL,60477,US,41.571663,-87.796231
,6029 College St,,Bloomington,IL,61701,US,40.482548,-89.013381
Maple Court,2360 Union St,Unit 99,Orland Park,IL,60462,US,41.648605,-87.869587
,6700 Sixth Dr,Unit 860,Chicago,IL,60640,US,41.883447,-87.619539
,5162 Prairie St,,Joliet,IL,60432,US,41.530732,-88.085322
,4698 Broad Ln,,Tinley Park,IL,60477,US,41.576481,-87.780580
,5638 Field Blvd,Apt 181,Chicago,IL,60618,US,41.873725,-87.638384
,4667 Ridge Pl,# 706,Midlothian,IL,60445,US,41.640987,-87.736771
,6683 Maple Cir,Apt 649,Chicago,IL,60601,US,41.872045,-87.636430
,829 Twelfth Ct,Ste 105,Elgin,IL,60123,US,42.027947,-88.281151
,6881 Academy Pl,Ste 693,Oak Park,IL,60302,US,41.879413,-87.799032
,8030 Ridge Ct,,Champaign,IL,61820,US,40.099807,-88.228970
,8593 Sunset Blvd,Unit 90,Evanston,IL,60201,US,42.054366,-87.690179
